metric_mse_loss_SI_only,0.17782339453697205,,300to400,600,None
metric_mse_loss_SI_only,0.19476382434368134,,300to400,600,None
mse_SI_only,0.0515,rsquare_SI_only,-1.4039,rsquare_all_features,0.9785,mae_mse_rmse_mape_mspe_rse,0.19156486, 0.05148269, 0.22689797, 6.8244476, 382.155, 1.5504487,run3,000to400,1000,None
mse_SI_only,0.0653,rsquare_SI_only,-3.075,rsquare_all_features,0.7999,mae_mse_rmse_mape_mspe_rse,0.218887, 0.06527209, 0.25548404, 53.996506, 48862.55, 2.0186615,run4,300to400,1000,None
mse_SI_only,0.0679,rsquare_SI_only,-3.239,rsquare_all_features,0.782,mae_mse_rmse_mape_mspe_rse,0.2368668, 0.067898706, 0.2605738, 53.6955, 48144.93, 2.0588775,run4,200to400,1000,None
mse_SI_only,0.0518,rsquare_SI_only,-2.2347,rsquare_all_features,0.932,mae_mse_rmse_mape_mspe_rse,0.18259707, 0.05181265, 0.22762392, 81.36753, 117348.87, 1.7985299,run4,100to400,1000,None
mse_SI_only,0.0326,rsquare_SI_only,-1.038,rsquare_all_features,0.9857,mae_mse_rmse_mape_mspe_rse,0.14279905, 0.032644466, 0.1806778, 33.6472, 19522.33, 1.4275935,run4,000to400,1000,None
mse_SI_only,0.0139,rsquare_SI_only,-0.3727,rsquare_all_features,0.9961,mae_mse_rmse_mape_mspe_rse,0.09550245, 0.01385675, 0.117714696, 3.9313588, 50.37328, 1.171604,run5,300to400,1000,None
mse_SI_only,0.0163,rsquare_SI_only,-0.6125,rsquare_all_features,0.9983,mae_mse_rmse_mape_mspe_rse,0.095497556, 0.016277688, 0.12758404, 2.8371236, 32.103275, 1.2698326,run5,200to400,1000,None
mse_SI_only,0.0193,rsquare_SI_only,-0.9149,rsquare_all_features,0.9972,mae_mse_rmse_mape_mspe_rse,0.10508925, 0.019330487, 0.13903412, 4.127076, 76.846565, 1.3837943,run5,100to400,1000,None
mse_SI_only,0.0155,rsquare_SI_only,-0.5392,rsquare_all_features,0.9966,mae_mse_rmse_mape_mspe_rse,0.098497465, 0.015538323, 0.12465281, 4.203839, 81.13005, 1.2406583,run5,000to400,1000,None
mse_SI_only,0.0966,rsquare_SI_only,-0.5366,rsquare_all_features,0.8986,mae_mse_rmse_mape_mspe_rse,0.26134714, 0.09655783, 0.31073755, 3.040419, 42.32056, 1.2395835,run6,300to400,1000,None
mse_SI_only,0.1116,rsquare_SI_only,-0.7756,rsquare_all_features,0.8816,mae_mse_rmse_mape_mspe_rse,0.27969253, 0.111580394, 0.33403653, 4.712613, 201.07857, 1.332527,run6,200to400,1000,None
mse_SI_only,0.1084,rsquare_SI_only,-0.7246,rsquare_all_features,0.931,mae_mse_rmse_mape_mspe_rse,0.27341253, 0.10837669, 0.32920614, 5.383421, 301.4451, 1.3132578,run6,100to400,1000,None
mse_SI_only,0.0863,rsquare_SI_only,-0.3729,rsquare_all_features,0.8359,mae_mse_rmse_mape_mspe_rse,0.24270038, 0.086272754, 0.29372224, 2.1247032, 11.845172, 1.1717066,run6,000to400,1000,None
mse_SI_only,0.107,rsquare_SI_only,-0.7244,rsquare_all_features,0.9741,mae_mse_rmse_mape_mspe_rse,0.25454175, 0.1070162, 0.3271333, 4.8503504, 175.32213, 1.3131781,run1,300to400,1000,None
mse_SI_only,0.096,rsquare_SI_only,-0.5476,rsquare_all_features,0.9793,mae_mse_rmse_mape_mspe_rse,0.24717225, 0.09604496, 0.30991122, 4.8642297, 175.14531, 1.2440451,run1,200to400,1000,None
mse_SI_only,0.0966,rsquare_SI_only,-0.5563,rsquare_all_features,0.9852,mae_mse_rmse_mape_mspe_rse,0.24435641, 0.096582815, 0.31077775, 4.6043873, 173.75743, 1.2475237,run1,100to400,1000,None
mse_SI_only,0.1114,rsquare_SI_only,-0.7952,rsquare_all_features,0.9848,mae_mse_rmse_mape_mspe_rse,0.2807923, 0.11140552, 0.33377466, 5.2062526, 177.58437, 1.3398378,run1,000to400,1000,None
mse_SI_only,0.1708,rsquare_SI_only,-0.0409,rsquare_all_features,0.7837,mae_mse_rmse_mape_mspe_rse,0.2826089, 0.17077583, 0.41325033, 1.9300103, 8.163036, 1.0202345,run2,300to400,1000,None
mse_SI_only,0.1708,rsquare_SI_only,-0.041,rsquare_all_features,0.4996,mae_mse_rmse_mape_mspe_rse,0.25920734, 0.17079288, 0.41327095, 1.7545676, 7.6534233, 1.0202854,run2,200to400,1000,None
mse_SI_only,0.1503,rsquare_SI_only,0.0836,rsquare_all_features,0.6791,mae_mse_rmse_mape_mspe_rse,0.27718917, 0.15034929, 0.38774902, 1.9186525, 8.007937, 0.9572767,run2,100to400,1000,None
mse_SI_only,0.1916,rsquare_SI_only,-0.1677,rsquare_all_features,0.5306,mae_mse_rmse_mape_mspe_rse,0.28172368, 0.1915773, 0.43769544, 1.8560532, 7.894459, 1.0805848,run2,000to400,1000,None
mse_SI_only,0.0369,rsquare_SI_only,-1.7199,rsquare_all_features,0.991,mae_mse_rmse_mape_mspe_rse,0.16212152, 0.03686288, 0.19199708, 14.341137, 3033.9539, 1.6492051,run3,300to400,1000,None
mse_SI_only,0.0289,rsquare_SI_only,-1.1358,rsquare_all_features,0.9948,mae_mse_rmse_mape_mspe_rse,0.13927603, 0.02894628, 0.17013606, 9.2023325, 1151.5604, 1.4614247,run3,200to400,1000,None
mse_SI_only,0.0168,rsquare_SI_only,-0.2367,rsquare_all_features,0.9961,mae_mse_rmse_mape_mspe_rse,0.10417136, 0.016760662, 0.12946297, 5.8796453, 404.2846, 1.1120534,run3,100to400,1000,None
mse_SI_only,0.0183,rsquare_SI_only,-0.3525,rsquare_all_features,0.998,mae_mse_rmse_mape_mspe_rse,0.10615709, 0.018331181, 0.1353927, 4.030441, 157.56975, 1.1629881,run3,000to400,1000,None
mse_SI_only,0.0982,rsquare_SI_only,-0.8536,rsquare_all_features,0.9833,mae_mse_rmse_mape_mspe_rse,0.22699249, 0.09819691, 0.31336385, 2.0695524, 11.0635195, 1.3614677,run4,300to400,1000,None
mse_SI_only,0.0912,rsquare_SI_only,-0.7209,rsquare_all_features,0.9812,mae_mse_rmse_mape_mspe_rse,0.20628127, 0.091168284, 0.30194086, 2.0848114, 13.012906, 1.3118383,run4,200to400,1000,None
